Site_ID,Latitude_Degrees,Longitude_Degrees,Ocean_Name,Ecoregion_Name,Exposure,Turbidity,Cyclone_Frequency,Date_Month,Date_Year,Percent_Bleaching,Temperature_Mean,Windspeed,SSTA,SSTA_DHW,TSA,TSA_DHWMean,Date,Bleaching_Severity_Int,Thermal_Stress_Index,Bleaching_Impact,Wind_Mitigation,Bleaching_Duration_weeks
1838,19.7,-79.8,Atlantic,Cuba and Cayman Islands,Exposed,0.0252,54.54,5,2002,5.5,301.16,6.0,0.05,0.0,-1.97,0.19,15-05-2002,1.0,0.44839080459770164,0.17935632183908068,0.4999999999999999,1
1840,19.7321,-80.0463,Atlantic,Cuba and Cayman Islands,Sometimes,0.0262,54.84,6,2002,5.5,301.09,6.0,-0.37,0.0,-1.72,0.29,15-06-2002,1.0,0.43160919540229836,0.17264367816091936,0.4999999999999999,1
2183,3.9,-81.6,Pacific,Isla de Malpelo Colombia,Exposed,0.07,51.18,3,1998,5.5,299.54,4.0,0.59,21.65,-0.13,1.29,15-03-1998,1.0,0.5368208874458883,0.21472835497835532,0.7,2
2215,6.4,-77.42,Pacific,Colombia Ecuador and Chile Pacific coast,Sheltered,0.0948,51.81,6,1998,5.5,300.6,1.0,1.36,20.24,1.35,0.79,15-06-1998,1.0,0.5901724137931045,0.2360689655172418,1.0,4
2225,10.137,-75.743,Atlantic,Netherlands Antilles and south Caribbean,Sheltered,0.1346,51.34,8,1987,5.5,301.92,4.0,0.45,0.0,0.37,0.65,15-08-1987,1.0,0.48714285714285777,0.19485714285714312,0.7,2
2241,12.466,-81.65,Atlantic,Belize and west Caribbean,Exposed,0.0289,31.71,9,2005,5.5,300.75,4.0,1.99,7.89,1.83,0.4,15-09-2005,1.0,0.5466522055530674,0.21866088222122695,0.7,2
2254,2.97,-78.17,Pacific,Colombia Ecuador and Chile Pacific coast,Sheltered,0.1296,51.8,9,1997,5.5,299.99,2.0,2.0,17.24,1.23,1.58,15-09-1997,1.0,0.575163084042394,0.23006523361695763,0.9,3
2255,6.02,-77.35,Pacific,Colombia Ecuador and Chile Pacific coast,Sheltered,0.0926,51.84,9,1998,5.5,300.53,2.0,0.08,0.0,-0.41,1.14,15-09-1998,1.0,0.42873563218390676,0.1714942528735627,0.9,2
2256,12.5333,-81.7,Atlantic,Belize and west Caribbean,Exposed,0.0297,81.37,9,1998,5.5,300.75,3.0,1.01,1.58,0.78,0.45,15-09-1998,1.0,0.4770068293775188,0.19080273175100754,0.7999999999999999,2
2260,11.3333,-74.1333,Atlantic,Netherlands Antilles and south Caribbean,Exposed,0.2574,52.91,10,1999,5.5,299.73,3.0,0.38,4.8,0.36,0.62,15-10-1999,1.0,0.4400806090461267,0.1760322436184507,0.7999999999999999,2
2261,11.333,-74.133,Atlantic,Netherlands Antilles and south Caribbean,Exposed,0.2574,52.91,10,2005,5.5,299.73,3.0,0.78,2.63,0.77,0.62,15-10-2005,1.0,0.44154416703985716,0.17661766681594288,0.7999999999999999,2
2278,10.15,-75.75,Atlantic,Netherlands Antilles and south Caribbean,Sheltered,0.1346,51.34,10,1998,5.5,301.92,2.0,0.44,0.0,-0.08,0.65,15-10-1998,1.0,0.48679802955665086,0.19471921182266036,0.9,3
2279,12.541,-81.687,Atlantic,Belize and west Caribbean,Exposed,0.0297,81.37,10,2004,5.5,300.75,6.0,-0.73,2.79,-0.74,0.52,15-10-2004,1.0,0.42388182937751884,0.16955273175100755,0.4999999999999999,1
2327,15.2,145.7,Pacific,Marianas,Sometimes,0.0214,54.38,7,2001,5.5,301.24,3.0,0.53,1.67,0.49,0.53,15-07-2001,1.0,0.47705842289893974,0.1908233691595759,0.7999999999999999,2
2332,14.15,145.2,Pacific,Marianas,Exposed,0.0204,59.99,7,2001,5.5,301.4,3.0,0.09,2.54,0,0.47,15-07-2001,1.0,0.47208370652336096,0.1888334826093444,0.7999999999999999,2
2333,16.0167,146.0667,Pacific,Marianas,Exposed,0.0217,57.77,7,2001,5.5,301.29,4.0,0.64,3.82,0.61,0.43,15-07-2001,1.0,0.49470947156292,0.197883788625168,0.7,2
2383,-18.8625,-159.8028,Pacific,Cook Islands south-west Pacific,Sheltered,0.0229,52.61,3,1994,5.5,299.88,4.0,1.13,6.56,1.11,0.61,15-03-1994,1.0,0.4808687863860269,0.1923475145544108,0.7,2
2384,-21.2333,-159.7667,Pacific,Cook Islands south-west Pacific,Exposed,0.0214,54.47,4,2000,5.5,298.81,4.0,0.15,8.6,-0.43,0.48,15-04-2000,1.0,0.4235270189580528,0.16941080758322113,0.7,2
